"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"898",4483.62709360346,-2.42271923981601,0.0600016218982933,-40.377562525271,0,0,"CCNE1","898","cyclin E1"
"1052",2053.88135557663,3.20195534795427,0.0724172014757464,44.2153974843485,0,0,"CEBPD","1052","CCAAT enhancer binding protein delta"
"1687",5692.46278267679,-2.31373756503587,0.0575533663106258,-40.2016026751279,0,0,"GSDME","1687","gasdermin E"
"2283",4423.94665216876,-1.8880193725334,0.0431679917758799,-43.7365579185532,0,0,"FKBP1AP2","2283","FKBP prolyl isomerase 1A pseudogene 2"
"5358",2348.7701339719,3.3445083321361,0.0690717572655225,48.4207795565312,0,0,"PLS3","5358","plastin 3"
"6064",2576.65254960143,2.39228794576996,0.061708615181299,38.7674871448897,0,0,NA,"6064",NA
"6397",28106.1191885778,1.83225777686375,0.0388966414279791,47.1058093860456,0,0,"SEC14L1","6397","SEC14 like lipid binding 1"
"7542",43719.1260988373,-1.84404649934342,0.0419164996608976,-43.9933323216791,0,0,"ZFPL1","7542","zinc finger protein like 1"
"8428",2944.12640623352,2.26608046261254,0.055268128792191,41.001577439559,0,0,"STK24","8428","serine/threonine kinase 24"
"11779",28007.1433373973,2.26252546550258,0.0552183311595172,40.9741732137194,0,0,NA,"11779",NA
"12140",1840.19727265675,-3.19605832567065,0.0757850351652669,-42.1726838115322,0,0,NA,"12140",NA
"12840",12942.9106281238,2.03736205042695,0.0462973434178526,44.0060249686232,0,0,NA,"12840",NA
"13447",6050.78726438958,1.95054949491349,0.043595384440606,44.7421102013885,0,0,NA,"13447",NA
"13984",1884.75741158654,2.52372169452888,0.0653981298931705,38.5901202167623,0,0,NA,"13984",NA
"14260",1307.34250385583,3.85825311457409,0.0865185432075092,44.5945224172385,0,0,NA,"14260",NA
"14542",2851.61916336974,-2.40668774845908,0.0581377318678229,-41.3963130507177,0,0,NA,"14542",NA
"16146",1743.84285765667,-2.92418912756521,0.0696221034544483,-42.0008730342142,0,0,NA,"16146",NA
"18453",8245.06804500101,-2.14234576630771,0.0404435485638688,-52.9712609892404,0,0,NA,"18453",NA
"12527",4420.07398793879,-1.93841810360098,0.0505768630461303,-38.3261828997379,2.24305803211926e-321,1.73990651905099e-318,NA,"12527",NA
"12275",3443.39680712992,2.07976295761976,0.0543254349135827,38.2834110933141,1.1571017425602e-320,8.5266837290574e-318,NA,"12275",NA
"2230",7442.98631416393,-2.05963137024161,0.0538449075112126,-38.2511822462081,3.97525218643867e-320,2.78986963224487e-317,"FDX1","2230","ferredoxin 1"
"19645",1999.10327890814,2.53453041313559,0.067097551800101,37.7738135764855,3.05856511868013e-312,2.04896057814126e-309,NA,"19645",NA
"3723",3796.1265394147,-1.64979200672636,0.043935437053321,-37.5503720316732,1.38930857273433e-308,8.90244771519937e-306,NA,"3723",NA
"112",18390.4756149844,-1.33893117834408,0.0358590275896002,-37.3387475440744,3.86082291079997e-305,2.37086700247375e-302,"ADCY6","112","adenylate cyclase 6"
"5357",14922.5173336984,1.66815955567935,0.0447581299294257,37.2705374042592,4.92673245663794e-304,2.9044073178372e-301,"PLS1","5357","plastin 1"
"2770",13232.3301349766,1.80533073536896,0.0488625142075156,36.9471519148983,8.09231108193889e-299,4.58709541252367e-296,"GNAI1","2770","G protein subunit alpha i1"
"8964",13214.4968037918,2.02763709005456,0.0550460855246606,36.8352639561659,5.03520683627244e-297,2.74847697603641e-294,NA,"8964",NA
"7735",1359.0634938634,2.54493702368437,0.0693613893225735,36.6909753183984,1.01726618392663e-294,5.3544532209681e-292,NA,"7735",NA
"3973",2392.80973934457,-2.14808670764645,0.0589063480898302,-36.4661327225834,3.81873143605109e-291,1.94070565188003e-288,"LHCGR","3973","luteinizing hormone/choriogonadotropin receptor"
"14233",804.838487338129,4.43413656938239,0.121636384406067,36.4540313413099,5.9385621797416e-291,2.91741764683439e-288,NA,"14233",NA
"14230",2268.80918089117,-2.2066708419761,0.0608219606307406,-36.2808238848651,3.24649821943176e-288,1.54344808896727e-285,NA,"14230",NA
"11046",1243.14971044106,2.51723600339355,0.069401356994198,36.270702943229,4.68797353266864e-288,2.1591048101397e-285,"SLC35D2","11046","solute carrier family 35 member D2"
"4022",2814.15907315816,-1.81023338577256,0.0499749029758679,-36.2228494299767,2.65984835163356e-287,1.18790439413259e-284,NA,"4022",NA
"3409",3157.52042924196,1.93501315031032,0.053535184702731,36.1446992488214,4.50689778355174e-286,1.95360763335252e-283,NA,"3409",NA
"1817",1324.17284690485,-2.82511200625218,0.0781715114729395,-36.1399178936196,5.35778353379665e-286,2.21230320962996e-283,"DRD5P1","1817","dopamine receptor D5 pseudogene 1"
"7925",1024.97040543336,3.2876630415376,0.0909710037522551,36.1396808426014,5.40391610440213e-286,2.21230320962996e-283,"IGLP1","7925","immune response to synthetic polypeptides 1"
"17345",5110.85796803933,-1.74624587694995,0.0487932042517446,-35.7887108200628,1.65485249277908e-280,6.5916800104265e-278,NA,"17345",NA
"9152",1395.92210584831,2.31778202055933,0.0656155292094681,35.3236809713161,2.54305707416959e-273,9.86304609450302e-271,"SLC6A5","9152","solute carrier family 6 member 5"
"13779",2356.74691021858,-2.3051528590294,0.0653960004274794,-35.2491412924509,3.53646850218314e-272,1.33642237910706e-269,NA,"13779",NA
"1872",1043.84682510942,-2.61747584698133,0.0743747823896457,-35.1930555341797,2.5536798156345e-271,9.40903328070533e-269,"E2F3P1","1872","E2F transcription factor 3 pseudogene 1"
"4135",1520.30148791169,2.8374350677056,0.0806594353569988,35.1779683944861,4.3440722585592e-271,1.56153504747916e-268,"MAP6","4135","microtubule associated protein 6"
"11367",899.504360793506,4.43907473642135,0.126316442695776,35.1424932628331,1.51368681108393e-270,5.31159910041784e-268,NA,"11367",NA
"17246",1049.74978195443,-3.01204014087113,0.086113672349893,-34.9774903180618,4.94847109857863e-268,1.69605969885702e-265,NA,"17246",NA
"10813",1500.97300012898,-2.41401849883444,0.0690680721887584,-34.9512940253652,1.23760619414889e-267,4.14541820212871e-265,"UTP14A","10813","UTP14A small subunit processome component"
"16820",1374.01910088605,2.35786042990079,0.0676832762470117,34.836676955408,6.77554401242539e-266,2.21906594789168e-263,NA,"16820",NA
"11576",4211.22514661471,1.73283927593519,0.0497514630842043,34.8299159162889,8.57647267497523e-266,2.7478272670388e-263,NA,"11576",NA
"9865",6930.41939676306,2.01487019569894,0.0588365433182892,34.2452170379735,5.13836406736825e-257,1.61125977925262e-254,"TRIL","9865","TLR4 interactor with leucine rich repeats"
"14698",744.768135087352,-3.17652098959839,0.0928701287754318,-34.203904220694,2.11545038694774e-256,6.49531412559078e-254,NA,"14698",NA
"6749",2830.20102519863,-1.92971757635609,0.0569242455807105,-33.8997479311347,6.71887893141865e-252,2.0208742385969e-249,"SSRP1","6749","structure specific recognition protein 1"
"2934",62749.3849250663,1.40989019840233,0.0418063486004981,33.7243085224987,2.54545118036223e-249,7.50297189923571e-247,"GSN","2934","gelsolin"
"6521",1758.22981855472,2.05910888555034,0.0611321276797725,33.6829252261027,1.02810293780878e-248,2.97101590145605e-246,"SLC4A1","6521","solute carrier family 4 member 1 (Diego blood group)"
"5273",3262.15452178144,1.54674961547203,0.0460243819592284,33.6071784047475,1.31769411197301e-247,3.73464919658813e-245,"SERPINB10","5273","serpin family B member 10"
"15515",1848.88777327798,-1.89361784327075,0.0564684070240013,-33.5341112503117,1.53477285954253e-246,4.26782686866751e-244,NA,"15515",NA
"8452",3591.26703399212,-1.70354659193329,0.0509601087578469,-33.4290219047262,5.19390786174958e-245,1.41755211234195e-242,"CUL3","8452","cullin 3"
"9641",4581.91768778281,-1.4640159114495,0.0439329001157926,-33.3239077682293,1.73984876181068e-243,4.66216200937559e-241,"IKBKE","9641","inhibitor of nuclear factor kappa B kinase subunit epsilon"
"16977",1549.06690179341,-2.52988619989441,0.0760092139505423,-33.2839410961486,6.5932284015851e-243,1.73519643183145e-240,NA,"16977",NA
"1293",2917.79069939981,1.81056662201436,0.05470356451191,33.0977814365308,3.19851269748904e-240,8.27011932203394e-238,"COL6A3","1293","collagen type VI alpha 3 chain"
"5710",2363.67043987816,1.72415483189413,0.0522701778398872,32.9854403246057,1.31369113041058e-238,3.33813446206744e-236,"PSMD4","5710","proteasome 26S subunit ubiquitin receptor, non-ATPase 4"
"2431",4893.9021785664,-1.87095249165046,0.0567964579545463,-32.9413586521147,5.62520534804957e-238,1.40515722745008e-235,NA,"2431",NA
"6808",4900.8667898464,1.68614754696903,0.0515037594735052,32.738339185442,4.44954348197543e-235,1.09295619728923e-232,NA,"6808",NA
"1632",2279.33849385387,2.05720946158248,0.0629925114453727,32.6580003619397,6.16939827396847e-234,1.49056707806143e-231,"ECI1","1632","enoyl-CoA delta isomerase 1"
"3072",200904.539632615,1.27117471085652,0.0389873664647934,32.604785245098,3.50828510194155e-233,8.33953319877654e-231,NA,"3072",NA
"9065",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469045e-233,2.28548149971663e-230,NA,"9065",NA
"5757",11145.9451572206,1.38865862865083,0.042897482122195,32.3715649486183,6.89943141970108e-230,1.58880969161804e-227,"PTMA","5757","prothymosin alpha"
"9183",9585.69435022083,-1.33707455466228,0.0417126480701134,-32.0544155435742,1.90535970763074e-225,4.32018328785567e-223,"ZW10","9183","zw10 kinetochore protein"
"9265",1074.47707273372,2.41256199115945,0.0759164041352394,31.779192107962,1.25506730571475e-221,2.80260332600363e-219,"CYTH3","9265","cytohesin 3"
"18616",4226.55595021453,-1.42461130954275,0.0449230268066048,-31.7122734333051,1.05241788800415e-220,2.31500519901569e-218,NA,"18616",NA
"9880",3890.72249473237,1.38275935255239,0.0437425179473042,31.6113341764681,2.57952645986797e-219,5.59074425963738e-217,"ZBTB39","9880","zinc finger and BTB domain containing 39"
"3141",793.124579134864,2.98016310498545,0.0943819972704494,31.5755460911244,7.99970833080929e-219,1.70869132434011e-216,"HLCS","3141","holocarboxylase synthetase"
"2785",635.93920101828,4.3264077758026,0.137032426265836,31.5721460511076,8.90724413004887e-219,1.87535662840943e-216,"GNG3","2785","G protein subunit gamma 3"
"9228",5291.78842553364,1.48922391534197,0.047410256855529,31.4114289631463,1.41265544491631e-216,2.93235435875725e-214,"DLGAP2","9228","DLG associated protein 2"
"5308",780.375869741297,-2.66975909690721,0.0850915116619597,-31.3751518190589,4.41710004896498e-216,9.04155840578414e-214,"PITX2","5308","paired like homeodomain 2"
"5811",13374.6004179129,1.14188898914371,0.0363987409629977,31.3716617369962,4.92877345943493e-216,9.95072099248657e-214,NA,"5811",NA
"7684",23487.8410667789,-1.33084139992718,0.0432786266467958,-30.7505460094286,1.20240107692617e-207,2.39472798266729e-205,NA,"7684",NA
"7438",2352.92723869813,2.10488854243809,0.0685910537341722,30.6875084700649,8.3546651760091e-207,1.64174740485363e-204,"VMD1","7438","vitelliform macular dystrophy, atypical"
"17879",793.128211520276,2.86562585502177,0.0934444338019159,30.6666297651965,1.58631168024589e-206,3.07619230835051e-204,NA,"17879",NA
"6953",1475.49048809515,-1.91025660589575,0.0625712946278218,-30.5292805152599,1.06537508793168e-204,2.03915559038143e-202,"TCP10L3","6953","t-complex 10 like 3 (pseudogene)"
"16987",603.48721362449,-3.436109185756,0.112997107887573,-30.4088241725159,4.19913010088495e-203,7.93420249062081e-201,NA,"16987",NA
"18138",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.33899351160355e-200,NA,"18138",NA
"16711",11339.2021259297,1.74021926020602,0.0574719541070875,30.2794517298554,2.13754238016494e-201,3.93788744985886e-199,NA,"16711",NA
"13004",2351.57847713981,-1.94451433589439,0.0645262741259618,-30.135233472469,1.67481171919958e-199,3.04733026142759e-197,NA,"13004",NA
"16827",5059.66070673934,-1.58287883735277,0.0526625745786306,-30.0569968334793,1.76884785992091e-198,3.17918045847736e-196,NA,"16827",NA
"16475",527.868372422254,-3.28311258391777,0.109401846260639,-30.0096634210001,7.34104325629985e-198,1.30352163266683e-195,NA,"16475",NA
"13082",2841.04018824034,-1.52007282825453,0.0507616642849857,-29.9452913860458,5.06700387154768e-197,8.89017893557972e-195,NA,"13082",NA
"5592",587.875352632019,-3.36365680001687,0.112773759026444,-29.8265911241652,1.76651997406299e-195,3.06293780914592e-193,"PRKG1","5592","protein kinase cGMP-dependent 1"
"2931",3855.53263789867,1.53740403929091,0.0515649231566346,29.8149196231878,2.50291232424245e-195,4.2892932365913e-193,"GSK3A","2931","glycogen synthase kinase 3 alpha"
"781",14027.992136521,1.67569487585242,0.0564166010544914,29.7021593738678,7.20107911202271e-194,1.21908423498295e-191,"CACNA2D1","781","calcium voltage-gated channel auxiliary subunit alpha2delta 1"
"5341",3172.76514957676,1.7230403058603,0.0580113152201207,29.7017969567199,7.27910250227302e-194,1.21908423498295e-191,"PLEK","5341","pleckstrin"
"14571",2782.7113944163,-1.70836053260098,0.0575941295653053,-29.662060100481,2.37079357258845e-193,3.92592760368636e-191,NA,"14571",NA
"7222",8425.96553258608,1.39132775322116,0.0469878372112624,29.6103808090932,1.0985140024296e-192,1.79887770753417e-190,"TRPC3","7222","transient receptor potential cation channel subfamily C member 3"
"10411",917.65645300902,-2.58022994832454,0.0872303197088443,-29.5795080992111,2.74196632636266e-192,4.44078018878384e-190,"RAPGEF3","10411","Rap guanine nucleotide exchange factor 3"
"12839",1215.27891511062,1.9567704307585,0.0663760811211219,29.48005362335,5.18784996234928e-191,8.31071008098953e-189,NA,"12839",NA
"17622",5624.42477846777,-1.64273183329818,0.0557716982088856,-29.4545779679424,1.09998439730639e-190,1.74317957500016e-188,NA,"17622",NA
